protocol_mode,packet_direction,packet_name
init,upstream,handshake
play,downstream,bundle
play,downstream,spawn_object
play,downstream,spawn_experience_orb
play,downstream,animation
play,downstream,statistics
play,downstream,acknowledge_block_changes
play,downstream,block_break_animation
play,downstream,update_block_entity
play,downstream,block_action
play,downstream,block_change
play,downstream,boss_bar
play,downstream,server_difficulty
play,downstream,chunk_batch_finished
play,downstream,chunk_batch_start
play,downstream,chunk_biomes
play,downstream,clear_titles
play,downstream,tab_complete
play,downstream,declare_commands
play,downstream,close_window
play,downstream,window_items
play,downstream,window_property
play,downstream,set_slot
play,downstream,cookie_request
play,downstream,set_cooldown
play,downstream,custom_chat_completions
play,downstream,plugin_message
play,downstream,damage_event
play,downstream,debug_sample
play,downstream,delete_chat_message
play,downstream,disconnect
play,downstream,disguised_chat
play,downstream,entity_status
play,downstream,explosion
play,downstream,unload_chunk
play,downstream,change_game_state
play,downstream,open_horse_window
play,downstream,hit_animation
play,downstream,initialize_world_border
play,downstream,keep_alive
play,downstream,chunk_data
play,downstream,effect
play,downstream,particle
play,downstream,update_light
play,downstream,join_game
play,downstream,map
play,downstream,trade_list
play,downstream,entity_relative_move
play,downstream,entity_look_and_relative_move
play,downstream,entity_look
play,downstream,vehicle_move
play,downstream,open_book
play,downstream,open_window
play,downstream,open_sign_editor
play,downstream,ping
play,downstream,ping_response
play,downstream,craft_recipe_response
play,downstream,player_abilities
play,downstream,chat_message
play,downstream,end_combat_event
play,downstream,enter_combat_event
play,downstream,death_combat_event
play,downstream,player_list_remove
play,downstream,player_list_item
play,downstream,face_player
play,downstream,player_position_and_look
play,downstream,unlock_recipes
play,downstream,destroy_entities
play,downstream,remove_entity_effect
play,downstream,reset_score
play,downstream,remove_resource_pack
play,downstream,add_resource_pack
play,downstream,respawn
play,downstream,entity_head_look
play,downstream,multi_block_change
play,downstream,select_advancement_tab
play,downstream,server_data
play,downstream,action_bar
play,downstream,world_border_center
play,downstream,world_border_lerp_size
play,downstream,world_border_size
play,downstream,world_border_warning_delay
play,downstream,world_border_warning_reach
play,downstream,camera
play,downstream,held_item_change
play,downstream,update_view_position
play,downstream,update_view_distance
play,downstream,spawn_position
play,downstream,display_scoreboard
play,downstream,entity_metadata
play,downstream,attach_entity
play,downstream,entity_velocity
play,downstream,entity_equipment
play,downstream,set_experience
play,downstream,update_health
play,downstream,scoreboard_objective
play,downstream,set_passengers
play,downstream,teams
play,downstream,update_score
play,downstream,set_simulation_distance
play,downstream,set_title_subtitle
play,downstream,time_update
play,downstream,set_title_text
play,downstream,set_title_time
play,downstream,entity_sound_effect
play,downstream,sound_effect
play,downstream,start_configuration
play,downstream,stop_sound
play,downstream,store_cookie
play,downstream,system_message
play,downstream,player_list_header_footer
play,downstream,block_metadata_response
play,downstream,collect_item
play,downstream,entity_teleport
play,downstream,set_ticking_state
play,downstream,step_tick
play,downstream,transfer
play,downstream,advancements
play,downstream,entity_properties
play,downstream,entity_effect
play,downstream,declare_recipes
play,downstream,tags
play,downstream,clientbound_report_details
play,downstream,clientbound_server_links
play,upstream,teleport_confirm
play,upstream,block_metadata_request
play,upstream,set_difficulty
play,upstream,acknowledge_chat
play,upstream,chat_command
play,upstream,signed_chat_command
play,upstream,chat_message
play,upstream,chat_session_update
play,upstream,chunk_batch_received
play,upstream,client_status
play,upstream,client_settings
play,upstream,tab_complete
play,upstream,configuration_acknowledged
play,upstream,confirm_transaction
play,upstream,click_window
play,upstream,close_window
play,upstream,change_container_slot_state
play,upstream,cookie_response
play,upstream,plugin_message
play,upstream,debug_sample_subscription
play,upstream,edit_book
play,upstream,entity_metadata_request
play,upstream,use_entity
play,upstream,generate_structure
play,upstream,keep_alive
play,upstream,lock_difficulty
play,upstream,player_position
play,upstream,player_position_and_look
play,upstream,player_look
play,upstream,player
play,upstream,vehicle_move
play,upstream,steer_boat
play,upstream,pick_item
play,upstream,ping_request
play,upstream,craft_recipe_request
play,upstream,player_abilities
play,upstream,player_digging
play,upstream,entity_action
play,upstream,steer_vehicle
play,upstream,pong
play,upstream,set_displayed_recipe
play,upstream,set_recipe_book_state
play,upstream,name_item
play,upstream,resource_pack_status
play,upstream,advancement_tab
play,upstream,select_trade
play,upstream,set_beacon_effect
play,upstream,held_item_change
play,upstream,update_command_block
play,upstream,update_command_block_minecart
play,upstream,creative_inventory_action
play,upstream,update_jigsaw_block
play,upstream,update_structure_block
play,upstream,update_sign
play,upstream,animation
play,upstream,spectate
play,upstream,player_block_placement
play,upstream,use_item
configuration,downstream,cookie_request
configuration,downstream,custom_payload
configuration,downstream,disconnect
configuration,downstream,finish_configuration
configuration,downstream,keep_alive
configuration,downstream,ping
configuration,downstream,reset_chat
configuration,downstream,registry_data
configuration,downstream,remove_resource_pack
configuration,downstream,add_resource_pack
configuration,downstream,store_cookie
configuration,downstream,transfer
configuration,downstream,update_enabled_features
configuration,downstream,update_tags
configuration,downstream,select_known_packs
configuration,downstream,clientbound_report_details
configuration,downstream,clientbound_server_links
configuration,upstream,client_information
configuration,upstream,cookie_response
configuration,upstream,custom_payload
configuration,upstream,finish_configuration
configuration,upstream,keep_alive
configuration,upstream,pong
configuration,upstream,resource_pack
configuration,upstream,select_known_packs
status,downstream,status_response
status,downstream,status_pong
status,upstream,status_request
status,upstream,status_ping
login,downstream,login_disconnect
login,downstream,login_encryption_request
login,downstream,login_success
login,downstream,login_set_compression
login,downstream,login_plugin_request
login,downstream,cookie_request
login,upstream,login_start
login,upstream,login_encryption_response
login,upstream,login_plugin_response
login,upstream,login_acknowledged
login,upstream,cookie_response
