protocol_mode,packet_direction,packet_name
handshake,upstream,intention
game,downstream,bundle
game,downstream,add_entity
game,downstream,add_experience_orb
game,downstream,animate
game,downstream,award_stats
game,downstream,block_changed_ack
game,downstream,block_destruction
game,downstream,block_entity_data
game,downstream,block_event
game,downstream,block_update
game,downstream,boss_event
game,downstream,change_difficulty
game,downstream,chunk_batch_finished
game,downstream,chunk_batch_start
game,downstream,chunk_biomes
game,downstream,clear_titles
game,downstream,command_suggestions
game,downstream,commands
game,downstream,container_close
game,downstream,container_set_content
game,downstream,container_set_data
game,downstream,container_set_slot
game,downstream,cookie_request
game,downstream,cooldown
game,downstream,custom_chat_completions
game,downstream,custom_payload
game,downstream,damage_event
game,downstream,debug_sample
game,downstream,delete_chat
game,downstream,disconnect
game,downstream,disguised_chat
game,downstream,entity_event
game,downstream,entity_position_sync
game,downstream,explode
game,downstream,forget_level_chunk
game,downstream,game_event
game,downstream,horse_screen_open
game,downstream,hurt_animation
game,downstream,initialize_border
game,downstream,keep_alive
game,downstream,level_chunk_with_light
game,downstream,level_event
game,downstream,level_particles
game,downstream,light_update
game,downstream,login
game,downstream,map_item_data
game,downstream,merchant_offers
game,downstream,move_entity_pos
game,downstream,move_entity_pos_rot
game,downstream,move_entity_rot
game,downstream,move_minecart_along_track
game,downstream,move_vehicle
game,downstream,open_book
game,downstream,open_screen
game,downstream,open_sign_editor
game,downstream,ping
game,downstream,pong_response
game,downstream,place_ghost_recipe
game,downstream,player_abilities
game,downstream,player_chat
game,downstream,player_combat_end
game,downstream,player_combat_enter
game,downstream,player_combat_kill
game,downstream,player_info_remove
game,downstream,player_info_update
game,downstream,player_look_at
game,downstream,player_position
game,downstream,player_rotation
game,downstream,recipe_book_add
game,downstream,recipe_book_remove
game,downstream,recipe_book_settings
game,downstream,remove_entities
game,downstream,remove_mob_effect
game,downstream,reset_score
game,downstream,resource_pack_pop
game,downstream,resource_pack_push
game,downstream,respawn
game,downstream,rotate_head
game,downstream,section_blocks_update
game,downstream,select_advancements_tab
game,downstream,server_data
game,downstream,set_action_bar_text
game,downstream,set_border_center
game,downstream,set_border_lerp_size
game,downstream,set_border_size
game,downstream,set_border_warning_delay
game,downstream,set_border_warning_distance
game,downstream,set_camera
game,downstream,set_chunk_cache_center
game,downstream,set_chunk_cache_radius
game,downstream,set_cursor_item
game,downstream,set_default_spawn_position
game,downstream,set_display_objective
game,downstream,set_entity_data
game,downstream,set_entity_link
game,downstream,set_entity_motion
game,downstream,set_equipment
game,downstream,set_experience
game,downstream,set_health
game,downstream,set_held_slot
game,downstream,set_objective
game,downstream,set_passengers
game,downstream,set_player_inventory
game,downstream,set_player_team
game,downstream,set_score
game,downstream,set_simulation_distance
game,downstream,set_subtitle_text
game,downstream,set_time
game,downstream,set_title_text
game,downstream,set_titles_animation
game,downstream,sound_entity
game,downstream,sound
game,downstream,start_configuration
game,downstream,stop_sound
game,downstream,store_cookie
game,downstream,system_chat
game,downstream,tab_list
game,downstream,tag_query
game,downstream,take_item_entity
game,downstream,teleport_entity
game,downstream,ticking_state
game,downstream,ticking_step
game,downstream,transfer
game,downstream,update_advancements
game,downstream,update_attributes
game,downstream,update_mob_effect
game,downstream,update_recipes
game,downstream,update_tags
game,downstream,projectile_power
game,downstream,custom_report_details
game,downstream,server_links
game,upstream,accept_teleportation
game,upstream,block_entity_tag_query
game,upstream,bundle_item_selected
game,upstream,change_difficulty
game,upstream,chat_ack
game,upstream,chat_command
game,upstream,chat_command_signed
game,upstream,chat
game,upstream,chat_session_update
game,upstream,chunk_batch_received
game,upstream,client_command
game,upstream,client_tick_end
game,upstream,client_information
game,upstream,command_suggestion
game,upstream,configuration_acknowledged
game,upstream,container_button_click
game,upstream,container_click
game,upstream,container_close
game,upstream,container_slot_state_changed
game,upstream,cookie_response
game,upstream,custom_payload
game,upstream,debug_sample_subscription
game,upstream,edit_book
game,upstream,entity_tag_query
game,upstream,interact
game,upstream,jigsaw_generate
game,upstream,keep_alive
game,upstream,lock_difficulty
game,upstream,move_player_pos
game,upstream,move_player_pos_rot
game,upstream,move_player_rot
game,upstream,move_player_status_only
game,upstream,move_vehicle
game,upstream,paddle_boat
game,upstream,pick_item
game,upstream,ping_request
game,upstream,place_recipe
game,upstream,player_abilities
game,upstream,player_action
game,upstream,player_command
game,upstream,player_input
game,upstream,pong
game,upstream,recipe_book_change_settings
game,upstream,recipe_book_seen_recipe
game,upstream,rename_item
game,upstream,resource_pack
game,upstream,seen_advancements
game,upstream,select_trade
game,upstream,set_beacon
game,upstream,set_carried_item
game,upstream,set_command_block
game,upstream,set_command_minecart
game,upstream,set_creative_mode_slot
game,upstream,set_jigsaw_block
game,upstream,set_structure_block
game,upstream,sign_update
game,upstream,swing
game,upstream,teleport_to_entity
game,upstream,use_item_on
game,upstream,use_item
configuration,downstream,cookie_request
configuration,downstream,custom_payload
configuration,downstream,disconnect
configuration,downstream,finish_configuration
configuration,downstream,keep_alive
configuration,downstream,ping
configuration,downstream,reset_chat
configuration,downstream,registry_data
configuration,downstream,resource_pack_pop
configuration,downstream,resource_pack_push
configuration,downstream,store_cookie
configuration,downstream,transfer
configuration,downstream,update_enabled_features
configuration,downstream,update_tags
configuration,downstream,select_known_packs
configuration,downstream,custom_report_details
configuration,downstream,server_links
configuration,upstream,client_information
configuration,upstream,cookie_response
configuration,upstream,custom_payload
configuration,upstream,finish_configuration
configuration,upstream,keep_alive
configuration,upstream,pong
configuration,upstream,resource_pack
configuration,upstream,select_known_packs
status,downstream,status_response
status,downstream,pong_response
status,upstream,status_request
status,upstream,ping_request
login,downstream,login_disconnect
login,downstream,hello
login,downstream,login_finished
login,downstream,login_compression
login,downstream,custom_query
login,downstream,cookie_request
login,upstream,hello
login,upstream,key
login,upstream,custom_query_answer
login,upstream,login_acknowledged
login,upstream,cookie_response
